DATE,PRCP,TMAX,TMIN,SNOW,SNWD
730915,0,111,-89,0,0
730916,0,111,-89,0,0
730917,0,111,-89,0,0
730918,0,111,-89,0,0
730919,0,111,-89,0,0
730920,0,111,-89,0,0
730921,0,111,-89,0,0
730922,0,111,-89,0,0
730923,0,111,-89,0,0
730924,0,111,-89,0,0
730925,0,111,-89,0,0
730926,0,111,-89,0,0
730927,0,111,-89,0,0
730928,0,111,-89,0,0
730929,0,111,-89,0,0
730930,0,111,-89,0,0
730931,0,111,-89,0,0
730932,0,111,-89,0,0
730933,0,111,-89,0,0
730934,0,111,-89,0,0
730935,0,111,-89,0,0
730936,0,111,-89,0,0
730937,0,111,-89,0,0
730938,0,111,-89,0,0
730939,0,111,-89,0,0
730940,0,111,-89,0,0
730971,0,244,117,0,0
730972,0,244,117,0,0
730973,0,244,117,0,0
730974,0,244,117,0,0
730975,0,244,117,0,0
730976,0,244,117,0,0
730977,0,244,117,0,0
730978,0,244,117,0,0
730979,0,244,117,0,0
730980,0,244,117,0,0
730981,0,244,117,0,0
730982,0,244,117,0,0
730983,0,244,117,0,0
730984,0,244,117,0,0
730985,0,244,117,0,0
730986,0,244,117,0,0
730987,0,244,117,0,0
730988,0,244,117,0,0
730989,0,244,117,0,0
730990,0,244,117,0,0
730991,0,244,117,0,0
730992,0,244,117,0,0
730993,0,244,117,0,0
730994,0,244,117,0,0
730995,0,244,117,0,0
730996,0,244,117,0,0
730997,0,244,117,0,0
730998,0,244,117,0,0
730999,0,244,117,0,0
731000,0,244,117,0,0
731001,0,244,117,0,0
731002,97,322,172,0,0
731003,97,322,172,0,0
731004,97,322,172,0,0
731005,97,322,172,0,0
731006,97,322,172,0,0
731007,97,322,172,0,0
731008,97,322,172,0,0
731009,97,322,172,0,0
731010,97,322,172,0,0
731011,97,322,172,0,0
731012,97,322,172,0,0
731013,97,322,172,0,0
731014,97,322,172,0,0
731015,97,322,172,0,0
731016,97,322,172,0,0
731017,97,322,172,0,0
731018,97,322,172,0,0
731019,97,322,172,0,0
731020,97,322,172,0,0
731021,97,322,172,0,0
731022,97,322,172,0,0
731023,97,322,172,0,0
731024,97,322,172,0,0
731025,97,322,172,0,0
731026,97,322,172,0,0
731027,97,322,172,0,0
731028,97,322,172,0,0
731029,97,322,172,0,0
731030,97,322,172,0,0
731031,97,322,172,0,0
731032,0,333,167,0,0
731033,0,333,167,0,0
731034,0,333,167,0,0
731035,0,333,167,0,0
731036,0,333,167,0,0
731037,0,333,167,0,0
731038,0,333,167,0,0
731039,0,333,167,0,0
731040,0,333,167,0,0
731041,0,333,167,0,0
731042,0,333,167,0,0
731043,0,333,167,0,0
731044,0,333,167,0,0
731045,0,333,167,0,0
731046,0,333,167,0,0
731047,0,333,167,0,0
731048,0,333,167,0,0
731049,0,333,167,0,0
731050,0,333,167,0,0
731051,0,333,167,0,0
731052,0,333,167,0,0
731053,0,333,167,0,0
731054,0,333,167,0,0
731055,0,333,167,0,0
731056,0,333,167,0,0
731057,0,333,167,0,0
731058,0,333,167,0,0
731059,0,333,167,0,0
731060,0,333,167,0,0
731061,0,333,167,0,0
731062,0,333,167,0,0
731063,0,328,194,0,0
731064,0,328,194,0,0
731065,0,328,194,0,0
731066,0,328,194,0,0
731067,0,328,194,0,0
731068,0,328,194,0,0
731069,0,328,194,0,0
731070,0,328,194,0,0
731071,0,328,194,0,0
731072,0,328,194,0,0
731073,0,328,194,0,0
731074,0,328,194,0,0
731075,0,328,194,0,0
731076,0,328,194,0,0
731077,0,328,194,0,0
731078,0,328,194,0,0
731079,0,328,194,0,0
731080,0,328,194,0,0
731081,0,328,194,0,0
731082,0,328,194,0,0
731083,0,328,194,0,0
731084,0,328,194,0,0
731085,0,328,194,0,0
731086,0,328,194,0,0
731087,0,328,194,0,0
731088,0,328,194,0,0
731089,0,328,194,0,0
731090,0,328,194,0,0
731091,0,328,194,0,0
731092,0,328,194,0,0
731093,0,328,194,0,0
731094,3,233,161,0,0
731095,3,233,161,0,0
731096,3,233,161,0,0
731097,3,233,161,0,0
731098,3,233,161,0,0
731099,3,233,161,0,0
731100,3,233,161,0,0
731101,3,233,161,0,0
731102,3,233,161,0,0
731103,3,233,161,0,0
731104,3,233,161,0,0
731105,3,233,161,0,0
731106,3,233,161,0,0
731107,3,233,161,0,0
731108,3,233,161,0,0
731109,3,233,161,0,0
731110,3,233,161,0,0
731111,3,233,161,0,0
731112,3,233,161,0,0
731113,3,233,161,0,0
731114,3,233,161,0,0
731115,3,233,161,0,0
731116,3,233,161,0,0
731117,3,233,161,0,0
731118,3,233,161,0,0
731119,3,233,161,0,0
731120,3,233,161,0,0
731121,3,233,161,0,0
731122,3,233,161,0,0
731123,3,233,161,0,0
731124,0,278,117,0,0
731125,0,278,117,0,0
731126,0,278,117,0,0
731127,0,278,117,0,0
731128,0,278,117,0,0
731129,0,278,117,0,0
731130,0,278,117,0,0
731131,0,278,117,0,0
731132,0,278,117,0,0
731133,0,278,117,0,0
731134,0,278,117,0,0
731135,0,278,117,0,0
731136,0,278,117,0,0
731137,0,278,117,0,0
731138,0,278,117,0,0
731139,0,278,117,0,0
731140,0,278,117,0,0
731141,0,278,117,0,0
731142,0,278,117,0,0
731143,0,278,117,0,0
731144,0,278,117,0,0
731145,0,278,117,0,0
731146,0,278,117,0,0
731147,0,278,117,0,0
731148,0,278,117,0,0
731149,0,278,117,0,0
731150,0,278,117,0,0
731151,0,278,117,0,0
731152,0,278,117,0,0
731153,0,278,117,0,0
731154,0,278,117,0,0
731155,0,100,39,0,0
731156,0,100,39,0,0
731157,0,100,39,0,0
731158,0,100,39,0,0
731159,0,100,39,0,0
731160,0,100,39,0,0
731161,0,100,39,0,0
731162,0,100,39,0,0
731163,0,100,39,0,0
731164,0,100,39,0,0
731165,0,100,39,0,0
731166,0,100,39,0,0
731167,0,100,39,0,0
731168,0,100,39,0,0
731169,0,100,39,0,0
731170,0,100,39,0,0
731171,0,100,39,0,0
731172,0,100,39,0,0
731173,0,100,39,0,0
731174,0,100,39,0,0
731175,0,100,39,0,0
731176,0,100,39,0,0
731177,0,100,39,0,0
731178,0,100,39,0,0
731179,0,100,39,0,0
731180,0,100,39,0,0
731181,0,100,39,0,0
731182,0,100,39,0,0
731183,0,100,39,0,0
731184,0,100,39,0,0
731185,0,33,-28,0,0
731186,0,33,-28,0,0
731187,0,33,-28,0,0
731188,0,33,-28,0,0
731189,0,33,-28,0,0
731190,0,33,-28,0,0
731191,0,33,-28,0,0
731192,0,33,-28,0,0
731193,0,33,-28,0,0
731194,0,33,-28,0,0
731195,0,33,-28,0,0
731196,0,33,-28,0,0
731197,0,33,-28,0,0
731198,0,33,-28,0,0
731199,0,33,-28,0,0
731200,0,33,-28,0,0
731201,0,33,-28,0,0
731202,0,33,-28,0,0
731203,0,33,-28,0,0
731204,0,33,-28,0,0
731205,0,33,-28,0,0
731206,0,33,-28,0,0
731207,0,33,-28,0,0
731208,0,33,-28,0,0
731209,0,33,-28,0,0
731210,0,33,-28,0,0
731211,0,33,-28,0,0
731212,0,33,-28,0,0
731213,0,33,-28,0,0
731214,0,33,-28,0,0
731215,0,33,-28,0,0
731216,64,156,94,0,0
731217,64,156,94,0,0
731218,64,156,94,0,0
731219,64,156,94,0,0
731220,64,156,94,0,0
731221,64,156,94,0,0
731222,64,156,94,0,0
731223,64,156,94,0,0
731224,64,156,94,0,0
731225,64,156,94,0,0
731226,64,156,94,0,0
731227,64,156,94,0,0
731228,64,156,94,0,0
731229,64,156,94,0,0
731230,64,156,94,0,0
731231,64,156,94,0,0
731232,64,156,94,0,0
731233,64,156,94,0,0
731234,64,156,94,0,0
731235,64,156,94,0,0
731236,64,156,94,0,0
731237,64,156,94,0,0
731238,64,156,94,0,0
731239,64,156,94,0,0
731240,64,156,94,0,0
731241,64,156,94,0,0
731242,64,156,94,0,0
731243,64,156,94,0,0
731244,64,156,94,0,0
731245,64,156,94,0,0
731246,64,156,94,0,0
731275,38,72,11,0,0
731276,38,72,11,0,0
731277,38,72,11,0,0
731278,38,72,11,0,0
731279,38,72,11,0,0
731280,38,72,11,0,0
731281,38,72,11,0,0
731282,38,72,11,0,0
731283,38,72,11,0,0
731284,38,72,11,0,0
731285,38,72,11,0,0
731286,38,72,11,0,0
731287,38,72,11,0,0
731288,38,72,11,0,0
731289,38,72,11,0,0
731290,38,72,11,0,0
731291,38,72,11,0,0
731292,38,72,11,0,0
731293,38,72,11,0,0
731294,38,72,11,0,0
731295,38,72,11,0,0
731296,38,72,11,0,0
731297,38,72,11,0,0
731298,38,72,11,0,0
731299,38,72,11,0,0
731300,38,72,11,0,0
731301,38,72,11,0,0
731302,38,72,11,0,0
731303,38,72,11,0,0
731304,38,72,11,0,0
731305,38,72,11,0,0
731306,0,211,22,0,0
731307,0,211,22,0,0
731308,0,211,22,0,0
731309,0,211,22,0,0
731310,0,211,22,0,0
731311,0,211,22,0,0
731312,0,211,22,0,0
731313,0,211,22,0,0
731314,0,211,22,0,0
731315,0,211,22,0,0
731316,0,211,22,0,0
731317,0,211,22,0,0
731318,0,211,22,0,0
731319,0,211,22,0,0
731320,0,211,22,0,0
731321,0,211,22,0,0
731322,0,211,22,0,0
731323,0,211,22,0,0
731324,0,211,22,0,0
731325,0,211,22,0,0
731326,0,211,22,0,0
731327,0,211,22,0,0
731328,0,211,22,0,0
731329,0,211,22,0,0
731330,0,211,22,0,0
731331,0,211,22,0,0
731332,0,211,22,0,0
731333,0,211,22,0,0
731334,0,211,22,0,0
731335,0,211,22,0,0
731336,8,256,111,0,0
731337,8,256,111,0,0
731338,8,256,111,0,0
731339,8,256,111,0,0
731340,8,256,111,0,0
731341,8,256,111,0,0
731342,8,256,111,0,0
731343,8,256,111,0,0
731344,8,256,111,0,0
731345,8,256,111,0,0
731346,8,256,111,0,0
731347,8,256,111,0,0
731348,8,256,111,0,0
731349,8,256,111,0,0
731350,8,256,111,0,0
731351,8,256,111,0,0
731352,8,256,111,0,0
731353,8,256,111,0,0
731354,8,256,111,0,0
731355,8,256,111,0,0
731356,8,256,111,0,0
731357,8,256,111,0,0
731358,8,256,111,0,0
731359,8,256,111,0,0
731360,8,256,111,0,0
731361,8,256,111,0,0
731362,8,256,111,0,0
731363,8,256,111,0,0
731364,8,256,111,0,0
731365,8,256,111,0,0
731366,8,256,111,0,0
731397,102,233,178,0,0
731398,102,233,178,0,0
731399,102,233,178,0,0
731400,102,233,178,0,0
731401,102,233,178,0,0
731402,102,233,178,0,0
731403,102,233,178,0,0
731404,102,233,178,0,0
731405,102,233,178,0,0
731406,102,233,178,0,0
731407,102,233,178,0,0
731408,102,233,178,0,0
731409,102,233,178,0,0
731410,102,233,178,0,0
731411,102,233,178,0,0
731412,102,233,178,0,0
731413,102,233,178,0,0
731414,102,233,178,0,0
731415,102,233,178,0,0
731416,102,233,178,0,0
731417,102,233,178,0,0
731418,102,233,178,0,0
731419,102,233,178,0,0
731420,102,233,178,0,0
731421,102,233,178,0,0
731422,102,233,178,0,0
731423,102,233,178,0,0
731424,102,233,178,0,0
731425,102,233,178,0,0
731426,102,233,178,0,0
731427,102,233,178,0,0
731428,330,272,189,0,0
731429,330,272,189,0,0
731430,330,272,189,0,0
731431,330,272,189,0,0
731432,330,272,189,0,0
731433,330,272,189,0,0
731434,330,272,189,0,0
731435,330,272,189,0,0
731436,330,272,189,0,0
731437,330,272,189,0,0
731438,330,272,189,0,0
731439,330,272,189,0,0
731440,330,272,189,0,0
731441,330,272,189,0,0
731442,330,272,189,0,0
731443,330,272,189,0,0
731444,330,272,189,0,0
731445,330,272,189,0,0
731446,330,272,189,0,0
731447,330,272,189,0,0
731448,330,272,189,0,0
731449,330,272,189,0,0
731450,330,272,189,0,0
731451,330,272,189,0,0
731452,330,272,189,0,0
731453,330,272,189,0,0
731454,330,272,189,0,0
731455,330,272,189,0,0
731456,330,272,189,0,0
731457,330,272,189,0,0
731458,330,272,189,0,0
731641,0,194,-39,0,0
731642,0,194,-39,0,0
731643,0,194,-39,0,0
731644,0,194,-39,0,0
731645,0,194,-39,0,0
731646,0,194,-39,0,0
731647,0,194,-39,0,0
731648,0,194,-39,0,0
731649,0,194,-39,0,0
731650,0,194,-39,0,0
731651,0,194,-39,0,0
731652,0,194,-39,0,0
731653,0,194,-39,0,0
731654,0,194,-39,0,0
731655,0,194,-39,0,0
731656,0,194,-39,0,0
731657,0,194,-39,0,0
731658,0,194,-39,0,0
731659,0,194,-39,0,0
731660,0,194,-39,0,0
731661,0,194,-39,0,0
731662,0,194,-39,0,0
731663,0,194,-39,0,0
731664,0,194,-39,0,0
731665,0,194,-39,0,0
731666,0,194,-39,0,0
731667,0,194,-39,0,0
731668,0,194,-39,0,0
731669,0,194,-39,0,0
731670,0,194,-39,0,0
731671,0,194,-39,0,0
731672,13,117,39,0,0
731673,13,117,39,0,0
731674,13,117,39,0,0
731675,13,117,39,0,0
731676,13,117,39,0,0
731677,13,117,39,0,0
731678,13,117,39,0,0
731679,13,117,39,0,0
731680,13,117,39,0,0
731681,13,117,39,0,0
731682,13,117,39,0,0
731683,13,117,39,0,0
731684,13,117,39,0,0
731685,13,117,39,0,0
731686,13,117,39,0,0
731687,13,117,39,0,0
731688,13,117,39,0,0
731689,13,117,39,0,0
731690,13,117,39,0,0
731691,13,117,39,0,0
731692,13,117,39,0,0
731693,13,117,39,0,0
731694,13,117,39,0,0
731695,13,117,39,0,0
731696,13,117,39,0,0
731697,13,117,39,0,0
731698,13,117,39,0,0
731699,13,117,39,0,0
731700,13,117,39,0,0
731701,13,117,39,0,0
731702,89,244,122,0,0
731703,89,244,122,0,0
731704,89,244,122,0,0
731705,89,244,122,0,0
731706,89,244,122,0,0
731707,89,244,122,0,0
731708,89,244,122,0,0
731709,89,244,122,0,0
731710,89,244,122,0,0
731711,89,244,122,0,0
731712,89,244,122,0,0
731713,89,244,122,0,0
731714,89,244,122,0,0
731715,89,244,122,0,0
731716,89,244,122,0,0
731717,89,244,122,0,0
731718,89,244,122,0,0
731719,89,244,122,0,0
731720,89,244,122,0,0
731721,89,244,122,0,0
731722,89,244,122,0,0
731723,89,244,122,0,0
731724,89,244,122,0,0
731725,89,244,122,0,0
731726,89,244,122,0,0
731727,89,244,122,0,0
731728,89,244,122,0,0
731729,89,244,122,0,0
731730,89,244,122,0,0
731731,89,244,122,0,0
731732,89,244,122,0,0
731794,178,311,206,0,0
731795,178,311,206,0,0
731796,178,311,206,0,0
731797,178,311,206,0,0
731798,178,311,206,0,0
731799,178,311,206,0,0
731800,178,311,206,0,0
731801,178,311,206,0,0
731802,178,311,206,0,0
731803,178,311,206,0,0
731804,178,311,206,0,0
731805,178,311,206,0,0
731806,178,311,206,0,0
731807,178,311,206,0,0
731808,178,311,206,0,0
731809,178,311,206,0,0
731810,178,311,206,0,0
731811,178,311,206,0,0
731812,178,311,206,0,0
731813,178,311,206,0,0
731814,178,311,206,0,0
731815,178,311,206,0,0
731816,178,311,206,0,0
731817,178,311,206,0,0
731818,178,311,206,0,0
731819,178,311,206,0,0
731820,178,311,206,0,0
731821,178,311,206,0,0
731822,178,311,206,0,0
731823,178,311,206,0,0
731824,178,311,206,0,0
731825,5,233,172,0,0
731826,5,233,172,0,0
731827,5,233,172,0,0
731828,5,233,172,0,0
731829,5,233,172,0,0
731830,5,233,172,0,0
731831,5,233,172,0,0
731832,5,233,172,0,0
731833,5,233,172,0,0
731834,5,233,172,0,0
731835,5,233,172,0,0
731836,5,233,172,0,0
731837,5,233,172,0,0
731838,5,233,172,0,0
731839,5,233,172,0,0
731840,5,233,172,0,0
731841,5,233,172,0,0
731842,5,233,172,0,0
731843,5,233,172,0,0
731844,5,233,172,0,0
731845,5,233,172,0,0
731846,5,233,172,0,0
731847,5,233,172,0,0
731848,5,233,172,0,0
731849,5,233,172,0,0
731850,5,233,172,0,0
731851,5,233,172,0,0
731852,5,233,172,0,0
731853,5,233,172,0,0
731854,5,233,172,0,0
731855,0,256,144,0,0
731856,0,256,144,0,0
731857,0,256,144,0,0
731858,0,256,144,0,0
731859,0,256,144,0,0
731860,0,256,144,0,0
731861,0,256,144,0,0
731862,0,256,144,0,0
731863,0,256,144,0,0
731864,0,256,144,0,0
731865,0,256,144,0,0
731866,0,256,144,0,0
731867,0,256,144,0,0
731868,0,256,144,0,0
731869,0,256,144,0,0
731870,0,256,144,0,0
731871,0,256,144,0,0
731872,0,256,144,0,0
731873,0,256,144,0,0
731874,0,256,144,0,0
731875,0,256,144,0,0
731876,0,256,144,0,0
731877,0,256,144,0,0
731878,0,256,144,0,0
731879,0,256,144,0,0
731880,0,256,144,0,0
731881,0,256,144,0,0
731882,0,256,144,0,0
731883,0,256,144,0,0
731884,0,256,144,0,0
731885,0,256,144,0,0
731916,15,133,39,0,0
731917,15,133,39,0,0
731918,15,133,39,0,0
731919,15,133,39,0,0
731920,15,133,39,0,0
731921,15,133,39,0,0
731922,15,133,39,0,0
731923,15,133,39,0,0
731924,15,133,39,0,0
731925,15,133,39,0,0
731926,15,133,39,0,0
731927,15,133,39,0,0
731928,15,133,39,0,0
731929,15,133,39,0,0
731930,15,133,39,0,0
731931,15,133,39,0,0
731932,15,133,39,0,0
731933,15,133,39,0,0
731934,15,133,39,0,0
731935,15,133,39,0,0
731936,15,133,39,0,0
731937,15,133,39,0,0
731938,15,133,39,0,0
731939,15,133,39,0,0
731940,15,133,39,0,0
731941,15,133,39,0,0
731942,15,133,39,0,0
731943,15,133,39,0,0
731944,15,133,39,0,0
731945,15,133,39,0,0
731946,15,133,39,0,0
731947,0,200,6,0,0
731948,0,200,6,0,0
731949,0,200,6,0,0
731950,0,200,6,0,0
731951,0,200,6,0,0
731952,0,200,6,0,0
731953,0,200,6,0,0
731954,0,200,6,0,0
731955,0,200,6,0,0
731956,0,200,6,0,0
731957,0,200,6,0,0
731958,0,200,6,0,0
731959,0,200,6,0,0
731960,0,200,6,0,0
731961,0,200,6,0,0
731962,0,200,6,0,0
731963,0,200,6,0,0
731964,0,200,6,0,0
731965,0,200,6,0,0
731966,0,200,6,0,0
731967,0,200,6,0,0
731968,0,200,6,0,0
731969,0,200,6,0,0
731970,0,200,6,0,0
731971,0,200,6,0,0
731972,0,200,6,0,0
731973,0,200,6,0,0
731974,0,200,6,0,0
731975,0,200,6,0,0
731976,0,200,6,0,0
731977,0,200,6,0,0
732037,371,156,44,0,0
732038,371,156,44,0,0
732039,371,156,44,0,0
732040,371,156,44,0,0
732041,371,156,44,0,0
732042,371,156,44,0,0
732043,371,156,44,0,0
732044,371,156,44,0,0
732045,371,156,44,0,0
732046,371,156,44,0,0
732047,371,156,44,0,0
732048,371,156,44,0,0
732049,371,156,44,0,0
732050,371,156,44,0,0
732051,371,156,44,0,0
732052,371,156,44,0,0
732053,371,156,44,0,0
732054,371,156,44,0,0
732055,371,156,44,0,0
732056,371,156,44,0,0
732057,371,156,44,0,0
732058,371,156,44,0,0
732059,371,156,44,0,0
732060,371,156,44,0,0
732061,371,156,44,0,0
732062,371,156,44,0,0
732063,371,156,44,0,0
732064,371,156,44,0,0
732065,371,156,44,0,0
732066,371,156,44,0,0
732067,0,183,83,0,0
732068,0,183,83,0,0
732069,0,183,83,0,0
732070,0,183,83,0,0
732071,0,183,83,0,0
732072,0,183,83,0,0
732073,0,183,83,0,0
732074,0,183,83,0,0
732075,0,183,83,0,0
732076,0,183,83,0,0
732077,0,183,83,0,0
732078,0,183,83,0,0
732079,0,183,83,0,0
732080,0,183,83,0,0
732081,0,183,83,0,0
732082,0,183,83,0,0
732083,0,183,83,0,0
732084,0,183,83,0,0
732085,0,183,83,0,0
732086,0,183,83,0,0
732087,0,183,83,0,0
732088,0,183,83,0,0
732089,0,183,83,0,0
732090,0,183,83,0,0
732091,0,183,83,0,0
732092,0,183,83,0,0
732093,0,183,83,0,0
732094,0,183,83,0,0
732095,0,183,83,0,0
732096,0,183,83,0,0
732097,0,183,83,0,0
732098,165,206,106,0,0
732099,165,206,106,0,0
732100,165,206,106,0,0
732101,165,206,106,0,0
732102,165,206,106,0,0
732103,165,206,106,0,0
732104,165,206,106,0,0
732105,165,206,106,0,0
732106,165,206,106,0,0
732107,165,206,106,0,0
732108,165,206,106,0,0
732109,165,206,106,0,0
732110,165,206,106,0,0
732111,165,206,106,0,0
732112,165,206,106,0,0
732113,165,206,106,0,0
732114,165,206,106,0,0
732115,165,206,106,0,0
732116,165,206,106,0,0
732117,165,206,106,0,0
732118,165,206,106,0,0
732119,165,206,106,0,0
732120,165,206,106,0,0
732121,165,206,106,0,0
732122,165,206,106,0,0
732123,165,206,106,0,0
732124,165,206,106,0,0
732125,165,206,106,0,0
732126,165,206,106,0,0
732127,165,206,106,0,0
732128,0,306,150,0,0
732129,0,306,150,0,0
732130,0,306,150,0,0
732131,0,306,150,0,0
732132,0,306,150,0,0
732133,0,306,150,0,0
732134,0,306,150,0,0
732135,0,306,150,0,0
732136,0,306,150,0,0
732137,0,306,150,0,0
732138,0,306,150,0,0
732139,0,306,150,0,0
732140,0,306,150,0,0
732141,0,306,150,0,0
732142,0,306,150,0,0
732143,0,306,150,0,0
732144,0,306,150,0,0
732145,0,306,150,0,0
732146,0,306,150,0,0
732147,0,306,150,0,0
732148,0,306,150,0,0
732149,0,306,150,0,0
732150,0,306,150,0,0
732151,0,306,150,0,0
732152,0,306,150,0,0
732153,0,306,150,0,0
732154,0,306,150,0,0
732155,0,306,150,0,0
732156,0,306,150,0,0
732157,0,306,150,0,0
732158,0,306,150,0,0
732220,0,261,44,0,0
732221,0,261,44,0,0
732222,0,261,44,0,0
732223,0,261,44,0,0
732224,0,261,44,0,0
732225,0,261,44,0,0
732226,0,261,44,0,0
732227,0,261,44,0,0
732228,0,261,44,0,0
732229,0,261,44,0,0
732230,0,261,44,0,0
732231,0,261,44,0,0
732232,0,261,44,0,0
732233,0,261,44,0,0
732234,0,261,44,0,0
732235,0,261,44,0,0
732236,0,261,44,0,0
732237,0,261,44,0,0
732238,0,261,44,0,0
732239,0,261,44,0,0
732240,0,261,44,0,0
732241,0,261,44,0,0
732242,0,261,44,0,0
732243,0,261,44,0,0
732244,0,261,44,0,0
732245,0,261,44,0,0
732246,0,261,44,0,0
732247,0,261,44,0,0
732248,0,261,44,0,0
732249,0,261,44,0,0
732250,0,261,44,0,0
732312,13,128,-17,0,0
732313,13,128,-17,0,0
732314,13,128,-17,0,0
732315,13,128,-17,0,0
732316,13,128,-17,0,0
732317,13,128,-17,0,0
732318,13,128,-17,0,0
732319,13,128,-17,0,0
732320,13,128,-17,0,0
732321,13,128,-17,0,0
732322,13,128,-17,0,0
732323,13,128,-17,0,0
732324,13,128,-17,0,0
732325,13,128,-17,0,0
732326,13,128,-17,0,0
732327,13,128,-17,0,0
732328,13,128,-17,0,0
732329,13,128,-17,0,0
732330,13,128,-17,0,0
732331,13,128,-17,0,0
732332,13,128,-17,0,0
732333,13,128,-17,0,0
732334,13,128,-17,0,0
732335,13,128,-17,0,0
732336,13,128,-17,0,0
732337,13,128,-17,0,0
732338,13,128,-17,0,0
732339,13,128,-17,0,0
732340,13,128,-17,0,0
732341,13,128,-17,0,0
732342,13,128,-17,0,0
732371,0,194,56,0,0
732372,0,194,56,0,0
732373,0,194,56,0,0
732374,0,194,56,0,0
732375,0,194,56,0,0
732376,0,194,56,0,0
732377,0,194,56,0,0
732378,0,194,56,0,0
732379,0,194,56,0,0
732380,0,194,56,0,0
732381,0,194,56,0,0
732382,0,194,56,0,0
732383,0,194,56,0,0
732384,0,194,56,0,0
732385,0,194,56,0,0
732386,0,194,56,0,0
732387,0,194,56,0,0
732388,0,194,56,0,0
732389,0,194,56,0,0
732390,0,194,56,0,0
732391,0,194,56,0,0
732392,0,194,56,0,0
732393,0,194,56,0,0
732394,0,194,56,0,0
732395,0,194,56,0,0
732396,0,194,56,0,0
732397,0,194,56,0,0
732398,0,194,56,0,0
732399,0,194,56,0,0
732400,0,194,56,0,0
732401,0,194,56,0,0
732432,0,217,17,0,0
732433,0,217,17,0,0
732434,0,217,17,0,0
732435,0,217,17,0,0
732436,0,217,17,0,0
732437,0,217,17,0,0
732438,0,217,17,0,0
732439,0,217,17,0,0
732440,0,217,17,0,0
732441,0,217,17,0,0
732442,0,217,17,0,0
732443,0,217,17,0,0
732444,0,217,17,0,0
732445,0,217,17,0,0
732446,0,217,17,0,0
732447,0,217,17,0,0
732448,0,217,17,0,0
732449,0,217,17,0,0
732450,0,217,17,0,0
732451,0,217,17,0,0
732452,0,217,17,0,0
732453,0,217,17,0,0
732454,0,217,17,0,0
732455,0,217,17,0,0
732456,0,217,17,0,0
732457,0,217,17,0,0
732458,0,217,17,0,0
732459,0,217,17,0,0
732460,0,217,17,0,0
732461,0,217,17,0,0
732462,0,217,17,0,0
732463,13,300,167,0,0
